Trip ID,Destination,Start date,End date,Duration (days),Traveler name,Traveler age,Traveler gender,Traveler nationality,Accommodation type, Accommodation cost ,Transportation type, Transportation cost 
1,"London, UK",5/1/2023,5/8/2023,7,John Smith,35,Male,American,Hotel," $1,200.00 ",Flight, $600.00 
2,"Phuket, Thailand",6/15/2023,6/20/2023,5,Jane Doe,28,Female,Canadian,Resort, $800.00 ,Flight, $500.00 
3,"Bali, Indonesia",7/1/2023,7/8/2023,7,David Lee,45,Male,Korean,Villa," $1,000.00 ",Flight, $700.00 
4,"New York, USA",8/15/2023,8/29/2023,14,Sarah Johnson,29,Female,British,Hotel," $2,000.00 ",Flight," $1,000.00 "
5,"Tokyo, Japan",9/10/2023,9/17/2023,7,Kim Nguyen,26,Female,Vietnamese,Airbnb, $700.00 ,Train, $200.00 
6,"Paris, France",10/5/2023,10/10/2023,5,Michael Brown,42,Male,American,Hotel," $1,500.00 ",Flight, $800.00 
7,"Sydney, Australia",11/20/2023,11/30/2023,10,Emily Davis,33,Female,Australian,Hostel, $500.00 ,Flight," $1,200.00 "
8,"Rio de Janeiro, Brazil",1/5/2024,1/12/2024,7,Lucas Santos,25,Male,Brazilian,Airbnb, $900.00 ,Flight, $600.00 
9,"Amsterdam, Netherlands",2/14/2024,2/21/2024,7,Laura Janssen,31,Female,Dutch,Hotel," $1,200.00 ",Train, $200.00 
10,"Dubai, United Arab Emirates",3/10/2024,3/17/2024,7,Mohammed Ali,39,Male,Emirati,Resort," $2,500.00 ",Flight, $800.00 
11,"Cancun, Mexico",4/1/2024,4/8/2024,7,Ana Hernandez,27,Female,Mexican,Hotel," $1,000.00 ",Flight, $500.00 
12,"Barcelona, Spain",5/15/2024,5/22/2024,7,Carlos Garcia,36,Male,Spanish,Airbnb, $800.00 ,Train, $100.00 
13,"Honolulu, Hawaii",6/10/2024,6/18/2024,8,Lily Wong,29,Female,Chinese,Resort," $3,000.00 ",Flight," $1,200.00 "
14,"Berlin, Germany",7/1/2024,7/10/2024,9,Hans Mueller,48,Male,German,Hotel," $1,400.00 ",Flight, $700.00 
15,"Marrakech, Morocco",8/20/2024,8/27/2024,7,Fatima Khouri,26,Female,Moroccan,Riad, $600.00 ,Flight, $400.00 
16,"Edinburgh, Scotland",9/5/2024,9/12/2024,7,James MacKenzie,32,Male,Scottish,Hotel, $900.00 ,Train, $150.00 
17,Paris,9/1/2023,9/10/2023,9,Sarah Johnson,30,Female,American,Hotel, $900.00 ,Plane, $400.00 
18,Bali,8/15/2023,8/25/2023,10,Michael Chang,28,Male,Chinese,Resort," $1,500.00 ",Plane, $700.00 
19,London,7/22/2023,7/28/2023,6,Olivia Rodriguez,35,Female,British,Hotel," $1,200.00 ",Train, $150.00 
20,Tokyo,10/5/2023,10/15/2023,10,Kenji Nakamura,45,Male,Japanese,Hotel," $1,200.00 ",Plane, $800.00 
21,New York,11/20/2023,11/25/2023,5,Emily Lee,27,Female,American,Airbnb, $600.00 ,Bus, $100.00 
22,Sydney,12/5/2023,12/12/2023,7,James Wilson,32,Male,Australian,Hotel," $1,000.00 ",Plane, $600.00 
23,Rome,11/1/2023,11/8/2023,7,Sofia Russo,29,Female,Italian,Airbnb, $700.00 ,Train, $80.00 
24,Bangkok,9/15/2023,9/23/2023,8,Raj Patel,40,Male,Indian,Hostel, $400.00 ,Plane, $500.00 
25,Paris,12/22/2023,12/28/2023,6,Lily Nguyen,24,Female,Vietnamese,Hotel," $1,400.00 ",Train, $100.00 
26,Hawaii,8/1/2023,8/10/2023,9,David Kim,34,Male,Korean,Resort," $2,000.00 ",Plane, $800.00 
27,Barcelona,10/20/2023,10/28/2023,8,Maria Garcia,31,Female,Spanish,Hotel," $1,100.00 ",Train, $150.00 
28,Japan,5/10/2022,5/18/2022,8,Alice Smith,30,Female,American,Hotel, $800.00 ,Plane, $500.00 
29,Thailand,6/15/2022,6/22/2022,7,Bob Johnson,45,Male,Canadian,Hostel, $200.00 ,Train, $150.00 
30,France,7/2/2022,7/11/2022,9,Charlie Lee,25,Male,Korean,Airbnb, $600.00 ,Car rental, $300.00 
31,Australia,8/20/2022,9/2/2022,13,Emma Davis,28,Female,British,Hotel," $1,000.00 ",Car rental, $500.00 
32,Brazil,9/5/2022,9/14/2022,9,Olivia Martin,33,Female,Australian,Hostel, $150.00 ,Bus, $50.00 
33,Greece,10/12/2022,10/20/2022,8,Harry Wilson,20,Male,American,Airbnb, $400.00 ,Plane, $600.00 
34,Egypt,11/8/2022,11/15/2022,7,Sophia Lee,37,Female,Canadian,Hotel, $700.00 ,Train, $100.00 
35,Mexico,1/5/2023,1/15/2023,10,James Brown,42,Male,British,Airbnb, $500.00 ,Plane, $800.00 
36,Italy,2/14/2023,2/20/2023,6,Mia Johnson,31,Female,American,Hostel, $180.00 ,Train, $120.00 
37,Spain,3/23/2023,3/31/2023,8,William Davis,27,Male,Korean,Hotel, $900.00 ,Car rental, $400.00 
38,Canada,4/19/2023,4/26/2023,7,Amelia Brown,38,Female,Australian,Airbnb, $350.00 ,Bus, $75.00 
39,"Paris, France",6/12/2022,6/19/2022,7,Mia Johnson,25,Female,American,Hotel," $1,400.00 ",Plane, $600.00 
40,"Sydney, Australia",1/2/2023,1/9/2023,7,Adam Lee,33,Male,Canadian,Airbnb, $800.00 ,Train, $150.00 
41,"Tokyo, Japan",12/10/2022,12/18/2022,8,Sarah Wong,28,Female,Chinese,Hostel, $500.00 ,Plane, $900.00 
42,"Cancun, Mexico",7/1/2023,7/8/2023,7,John Smith,45,Male,American,Resort," $2,200.00 ",Plane, $800.00 
43,"Rio de Janeiro, Brazil",11/20/2022,11/27/2022,7,Maria Silva,30,Female,Brazilian,Hotel," $1,200.00 ",Plane, $700.00 
44,"London, UK",3/5/2023,3/12/2023,7,Peter Brown,55,Male,British,Airbnb, $900.00 ,Train, $100.00 
45,"Barcelona, Spain",8/18/2023,8/25/2023,7,Emma Garcia,27,Female,Spanish,Hostel, $600.00 ,Plane, $600.00 
46,"New York City, USA",9/15/2022,9/22/2022,7,Michael Davis,41,Male,American,Hotel," $1,500.00 ",Plane, $500.00 
47,"Bangkok, Thailand",5/1/2023,5/7/2023,6,Nina Patel,29,Female,Indian,Airbnb, $500.00 ,Bus, $50.00 
48,"Vancouver, Canada",7/10/2022,7/17/2022,7,Kevin Kim,24,Male,Korean,Hostel, $400.00 ,Train, $150.00 
49,"Amsterdam, Netherlands",6/20/2023,6/28/2023,8,Laura van den Berg,31,Female,Dutch,Hotel," $1,100.00 ",Plane, $700.00 
50,"Paris, France",8/15/2023,8/22/2023,7,Jennifer Nguyen,31,Female,Canadian,Hotel," $1,200.00 ",Train, $300.00 
51,"Tokyo, Japan",10/10/2023,10/20/2023,10,David Kim,25,Male,American,Hostel, $500.00 ,Bus, $100.00 
52,"Sydney, AUS",11/5/2023,11/12/2023,7,Rachel Lee,27,Female,South Korean,Airbnb, $900.00 ,Car rental, $200.00 
53,"New York, USA",12/24/2023,12/31/2023,7,Jessica Wong,28,Female,Canadian,Hotel," $1,400.00 ",Flight, $800.00 
54,"Rio de Janeiro, Brazil",1/15/2024,1/24/2024,9,Felipe Almeida,30,Male,Brazilian,Airbnb, $800.00 ,Train, $150.00 
55,"Bangkok, Thailand",2/1/2024,2/9/2024,8,Nisa Patel,23,Female,Indian,Hostel, $400.00 ,Bus, $50.00 
56,"London, UK",3/15/2024,3/23/2024,8,Ben Smith,35,Male,British,Hotel," $1,000.00 ",Train, $200.00 
57,"Barcelona, Spain",4/5/2024,4/13/2024,8,Laura Gomez,29,Female,Spanish,Airbnb, $700.00 ,Car rental, $250.00 
58,"Seoul, South Korea",5/10/2024,5/18/2024,8,Park Min Woo,27,Male,South Korean,Hostel, $500.00 ,Subway, $20.00 
59,"Los Angeles, USA",6/20/2024,6/27/2024,7,Michael Chen,26,Male,Chinese,Hotel," $1,200.00 ",Car rental, $300.00 
60,"Rome, Italy",7/15/2024,7/23/2024,8,Sofia Rossi,33,Female,Italian,Airbnb, $800.00 ,Train, $100.00 
61,Paris,7/12/2022,7/18/2022,6,Rachel Sanders,35,Female,American,Hotel," $1,200.00 ",Plane, $800.00 
62,Tokyo,9/3/2022,9/10/2022,7,Kenji Nakamura,28,Male,Japanese,Hostel, $400.00 ,Train, $300.00 
63,Cape Town,1/7/2023,1/16/2023,9,Emily Watson,29,Female,British,Vacation rental, $800.00 ,Car rental, $200.00 
64,Sydney,6/23/2023,6/29/2023,6,David Lee,43,Male,Australian,Hotel," $1,500.00 ",Plane," $1,200.00 "
65,Barcelona,8/18/2023,8/25/2023,7,Ana Rodriguez,31,Female,Spanish,Vacation rental, $900.00 ,Plane, $700.00 
66,Bali,2/1/2024,2/8/2024,7,Tom Wilson,27,Male,American,Resort," $2,200.00 ",Plane," $1,000.00 "
67,Paris,5/6/2024,5/12/2024,6,Olivia Green,39,Female,French,Hotel," $1,100.00 ",Train, $200.00 
68,New York,7/20/2024,7/26/2024,6,James Chen,25,Male,American,Vacation rental," $1,000.00 ",Plane, $800.00 
69,Bangkok,9/8/2024,9/16/2024,8,Lila Patel,33,Female,Indian,Hostel, $300.00 ,Plane, $700.00 
70,Rome,2/14/2025,2/20/2025,6,Marco Rossi,41,Male,Italian,Hotel," $1,300.00 ",Train, $100.00 
71,Bali,5/21/2025,5/29/2025,8,Sarah Brown,37,Female,British,Resort," $1,800.00 ",Plane," $1,000.00 "
72,,,,,,,,,,,,
73,"Bali, Indonesia",8/5/2022,8/12/2022,7,Sarah Lee,35,Female,South Korean,Resort, 500 USD ,Plane, 800 USD 
74,"Tokyo, Japan",1/1/2023,1/9/2023,8,Alex Kim,29,Male,American,Hotel, 1000 USD ,Train, 200 USD 
75,"Cancun, Mexico",4/15/2023,4/22/2023,7,Maria Hernandez,42,Female,Mexican,Resort, 800 USD ,Plane, 500 USD 
76,"Paris, France",6/7/2023,6/14/2023,7,John Smith,46,Male,British,Hotel, 1200 USD ,Plane, 700 USD 
77,"Cape Town, SA",9/1/2023,9/10/2023,9,Mark Johnson,31,Male,South African,Guesthouse, 400 USD ,Car, 300 USD 
78,"Bali, Indonesia",11/12/2023,11/19/2023,7,Amanda Chen,25,Female,Taiwanese,Resort, 600 USD ,Plane, 700 USD 
79,"Sydney, Aus",2/5/2024,2/12/2024,7,David Lee,38,Male,Australian,Hotel, 900 USD ,Plane, 600 USD 
80,"Bangkok, Thai",5/15/2024,5/22/2024,7,Nana Kwon,27,Female,Korean,Hotel, 400 USD ,Plane, 400 USD 
81,"New York, USA",8/20/2024,8/27/2024,7,Tom Hanks,60,Male,American,Hotel, 1500 USD ,Plane, 1000 USD 
82,"Phuket, Thai",1/1/2025,1/8/2025,7,Emma Watson,32,Female,British,Resort, 700 USD ,Plane, 800 USD 
83,"Rome, Italy",4/15/2025,4/22/2025,7,James Kim,41,Male,American,Hotel, $100.00 ,,
84,Paris,6/15/2021,6/20/2021,6,John Smith,35,Male,American,Hotel, 800 USD ,Plane, 500 USD 
85,Tokyo,7/1/2021,7/10/2021,10,Sarah Lee,28,Female,Korean,Airbnb, 500 USD ,Train, 300 USD 
86,Bali,8/10/2021,8/20/2021,11,Maria Garcia,42,Female,Spanish,Resort, 1200 USD ,Plane, 700 USD 
87,Sydney,9/1/2021,9/10/2021,9,David Lee,45,Male,Australian,Hotel, 900 USD ,Plane, 600 USD 
88,New York,10/15/2021,10/20/2021,6,Emily Davis,31,Female,American,Airbnb, 700 USD ,Car rental, 200 USD 
89,London,11/20/2021,11/30/2021,11,James Wilson,29,Male,British,Hostel, 300 USD ,Plane, 400 USD 
90,Dubai,1/1/2022,1/8/2022,8,Fatima Ahmed,24,Female,Emirati,Hotel, 1000 USD ,Plane, 800 USD 
91,Bangkok,2/14/2022,2/20/2022,7,Liam Nguyen,26,Male,Vietnamese,Airbnb, 400 USD ,Train, 100 USD 
92,Rome,3/10/2022,3/20/2022,11,Giulia Rossi,30,Female,Italian,Hostel, 200 USD ,Plane, 350 USD 
93,Bali,4/15/2022,4/25/2022,11,Putra Wijaya,33,Male,Indonesian,Villa, 1500 USD ,Car rental, 300 USD 
94,Seoul,5/1/2022,5/10/2022,10,Kim Min-ji,27,Female,Korean,Hotel, 800 USD ,Train, 150 USD 
95,Paris,6/15/2022,6/20/2022,5,John Smith,35,Male,USA,Hotel, $500.00 ,Plane, $800.00 
96,Tokyo,9/1/2022,9/10/2022,9,Emily Johnson,28,Female,Canada,Airbnb, $400.00 ,Train, $200.00 
97,Sydney,11/23/2022,12/2/2022,9,David Lee,45,Male,South Korea,Hostel, $200.00 ,Plane," $1,200.00 "
98,London,2/14/2023,2/19/2023,5,Sarah Brown,37,Female,UK,Hotel, $600.00 ,Plane, $700.00 
99,New York,5/8/2023,5/14/2023,6,Michael Wong,50,Male,China,Airbnb, $800.00 ,Car rental, $300.00 
100,Rome,8/20/2023,8/27/2023,7,Jessica Chen,31,Female,Taiwan,Hotel, $700.00 ,Plane, $900.00 
101,Bangkok,11/12/2023,11/20/2023,8,Ken Tanaka,42,Male,Japan,Hostel, $300.00 ,Train, $100.00 
102,Cape Town,1/6/2024,1/14/2024,8,Maria Garcia,27,Female,Spain,Airbnb, $500.00 ,Plane," $1,500.00 "
103,Rio de Janeiro,4/3/2024,4/10/2024,7,Rodrigo Oliveira,33,Male,Brazil,Hotel, $900.00 ,Car rental, $400.00 
104,Bali,7/22/2024,7/28/2024,6,Olivia Kim,29,Female,South Korea,Villa," $1,200.00 ",Plane," $1,000.00 "
105,Amsterdam,10/10/2024,10/17/2024,7,Robert Mueller,41,Male,Germany,Hotel, $600.00 ,Train, $150.00 
106,Paris,5/15/2022,5/20/2022,5,John Smith,35,Male,USA,Hotel," $1,000.00 ",Plane, $800.00 
107,Tokyo,9/1/2022,9/10/2022,9,Sarah Lee,28,Female,South Korea,Airbnb, $800.00 ,Train, $500.00 
108,New York,6/20/2022,6/25/2022,5,Michael Wong,42,Male,Hong Kong,Hotel," $1,200.00 ",Car rental, $200.00 
109,Bali,8/12/2022,8/20/2022,8,Lisa Chen,30,Female,Taiwan,Resort," $1,500.00 ",Plane," $1,200.00 "
110,Sydney,7/1/2022,7/10/2022,9,David Kim,26,Male,Canada,Hostel, $300.00 ,Plane, $900.00 
111,London,6/10/2022,6/15/2022,5,Emily Wong,38,Female,United Kingdom,Hotel, $900.00 ,Train, $150.00 
112,Phuket,9/5/2022,9/12/2022,7,Mark Tan,45,Male,Singapore,Villa," $2,000.00 ",Plane, $700.00 
113,Rome,5/1/2022,5/8/2022,7,Emma Lee,31,Female,Italy,Hotel," $1,100.00 ",Train, $250.00 
114,Santorini,7/15/2022,7/22/2022,7,George Chen,27,Male,Greece,Airbnb," $1,000.00 ",Ferry, $150.00 
115,Dubai,8/25/2022,8/30/2022,5,Sophia Kim,29,Female,United Arab Emirates,Hotel," $1,500.00 ",Car rental, $300.00 
116,Phnom Penh,9/10/2022,9/15/2022,5,Alex Ng,33,Male,Cambodia,Hostel, $200.00 ,Plane, $500.00 
117,"Tokyo, Japan",2/5/2022,2/14/2022,9,Alice Smith,32,Female,American,Hotel," $1,000.00 ",Plane, $700.00 
118,"Paris, France",3/15/2022,3/22/2022,7,Bob Johnson,47,Male,Canadian,Hotel," $1,200.00 ",Train, $500.00 
119,"Sydney, Aus",5/1/2022,5/12/2022,11,Cindy Chen,26,Female,Chinese,Airbnb, $800.00 ,Plane," $1,000.00 "
120,"Rome, Italy",6/10/2022,6/17/2022,7,David Lee,38,Male,Korean,Hotel, $900.00 ,Train, $400.00 
121,"Bali, Indonesia",7/20/2022,7/30/2022,10,Emily Kim,29,Female,Korean,Hostel, $500.00 ,Plane, $800.00 
122,"Cancun, Mexico",8/8/2022,8/16/2022,8,Frank Li,41,Male,American,Hotel," $1,300.00 ",Plane, $600.00 
123,"Athens, Greece",9/20/2022,9/30/2022,10,Gina Lee,35,Female,Korean,Airbnb, $700.00 ,Plane, $900.00 
124,"Tokyo, Japan",10/5/2022,10/13/2022,8,Henry Kim,24,Male,Korean,Hotel," $1,200.00 ",Plane, $700.00 
125,"Sydney, Aus",11/11/2022,11/21/2022,10,Isabella Chen,30,Female,Chinese,Airbnb, $900.00 ,Plane," $1,000.00 "
126,"Paris, France",12/24/2022,1/1/2023,8,Jack Smith,28,Male,American,Hostel, $400.00 ,Plane, $700.00 
127,"Bali, Indonesia",2/10/2023,2/18/2023,8,Katie Johnson,33,Female,Canadian,Hotel, $800.00 ,Plane, $800.00 
128,,,,,,,,,,,,
129,"Paris, France",5/1/2023,5/7/2023,6,John Doe,35,Male,American,Hotel," $5,000.00 ",Airplane," $2,500.00 "
130,"Tokyo, Japan",5/15/2023,5/22/2023,7,Jane Smith,28,Female,British,Airbnb," $7,000.00 ",Train," $1,500.00 "
131,"Cape Town, South Africa",6/1/2023,6/10/2023,9,Michael Johnson,45,Male,South African,Hostel," $3,000.00 ",Car," $2,000.00 "
132,"Sydney, Australia",6/15/2023,6/21/2023,6,Sarah Lee,31,Female,Australian,Hotel," $6,000.00 ",Airplane," $3,000.00 "
133,"Rome, Italy",7/1/2023,7/8/2023,7,David Kim,42,Male,Korean,Airbnb," $4,000.00 ",Train," $1,500.00 "
134,"New York City, USA",7/15/2023,7/22/2023,7,Emily Davis,27,Female,American,Hotel," $8,000.00 ",Airplane," $2,500.00 "
135,"Rio de Janeiro, Brazil",8/1/2023,8/10/2023,9,Jose Perez,37,Male,Brazilian,Hostel," $2,500.00 ",Car," $2,000.00 "
136,"Vancouver, Canada",8/15/2023,8/21/2023,6,Emma Wilson,29,Female,Canadian,Hotel," $5,000.00 ",Airplane," $3,000.00 "
137,"Bangkok, Thailand",9/1/2023,9/8/2023,7,Ryan Chen,34,Male,Chinese,Hostel," $2,000.00 ",Train," $1,000.00 "
138,"Barcelona, Spain",9/15/2023,9/22/2023,7,Sofia Rodriguez,25,Female,Spanish,Airbnb," $6,000.00 ",Airplane," $2,500.00 "
139,"Auckland, New Zealand",10/1/2023,10/8/2023,7,William Brown,39,Male,New Zealander,Hotel," $7,000.00 ",Train," $2,500.00 "
140,London,12/18/2023,12/31/2023,13,james smith,54,Male,United Arab Emirates,Guesthouse," $7,698.00 ",Car rental, $606.00 
141,Thailand,8/20/2021,8/23/2021,3,michael smith,58,Male,Australian,Airbnb," $3,350.00 ",Car," $1,786.00 "
142,"Paris, France",12/6/2022,12/19/2022,13,robert smith,52,Male,Canada,Villa," $4,363.00 ",Bus," $1,396.00 "
143,Australia,11/10/2022,11/13/2022,3,david smith,60,Female,South Korean,Riad," $4,539.00 ",Flight," $2,069.00 "
144,"New York City, USA",12/29/2022,1/5/2023,7,james johnson,40,Female,South Korean,Guesthouse," $6,863.00 ",Ferry, $982.00 
145,Tokyo,10/19/2023,10/23/2023,4,michael johnson,26,Male,Italian,Airbnb," $6,540.00 ",Plane, $308.00 
146,New York,10/5/2022,10/8/2022,3,william smith,47,Male,Japan,Riad," $3,945.00 ",Plane," $1,083.00 "
147,Canada,10/5/2024,10/9/2024,4,james williams,46,Male,Mexican,Villa," $2,488.00 ",Car rental, $957.00 
148,"Marrakech, Morocco",4/1/2021,4/4/2021,3,robert johnson,45,Male,Dutch,Hostel," $2,119.00 ",Car, $790.00 
149,Phuket,8/9/2022,8/14/2022,5,mary smith,45,Male,South Korea,Riad," $4,482.00 ",Car," $1,700.00 "
150,"Seoul, South Korea",4/28/2024,5/7/2024,9,james brown,53,Female,Germany,Villa," $2,353.00 ",Car," $1,133.00 "
151,"Honolulu, Hawaii",8/7/2023,8/12/2023,5,john smith,30,Male,New Zealander,Riad," $1,194.00 ",Airplane," $2,391.00 "
152,Paris,2/25/2023,3/7/2023,10,david johnson,43,Male,American,Riad," $5,178.00 ",Airplane," $1,712.00 "
153,"London, UK",2/2/2023,2/7/2023,5,michael brown,47,Female,Taiwan,Villa, $129.00 ,Flight," $1,129.00 "
154,Egypt,11/15/2021,11/20/2021,5,maria garcia,42,Male,British,Villa," $1,785.00 ",Airplane, $869.00 
155,Phnom Penh,6/11/2021,6/22/2021,11,michael williams,51,Female,Emirati,Villa," $3,856.00 ",Plane, $806.00 
156,Santorini,8/15/2024,8/16/2024,1,michael jones,48,Male,Scottish,Airbnb," $1,173.00 ",Airplane," $1,386.00 "
157,Barcelona,7/2/2022,7/11/2022,9,james jones,35,Female,Greece,Hotel," $7,598.00 ",Ferry, $988.00 
158,Mexico,8/26/2024,9/10/2024,15,maria rodriguez,32,Female,Japanese,Hotel," $4,030.00 ",Flight," $1,637.00 "
159,"Seoul, South Korea",6/3/2024,6/4/2024,1,robert brown,53,Female,Italian,Villa," $1,700.00 ",Train, $175.00 
160,"Rio de Janeiro, Brazil",9/6/2022,9/19/2022,13,michael miller,46,Female,Mexican,Riad," $4,423.00 ",Airplane," $1,877.00 "
161,"Bangkok, Thailand",5/30/2024,6/3/2024,4,robert jones,54,Male,Chinese,Airbnb," $5,492.00 ",Train," $2,378.00 "
162,Brazil,10/26/2023,11/10/2023,15,robert williams,27,Male,South African,Airbnb," $6,271.00 ",Car rental," $1,012.00 "
